SOLAR,8031,HEBREW,SELEUCID ERA,NABATAEAN,EGYPTIAN CIVIL,JULIAN AUC,HISTORICAL
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-27,,,,,
125th,Mon,3791 Iyar / 26,342 Artemisios / 26,Nisan / 26,Shemu Pachons 23,784 Maius / 7,31 May \ 7
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-28,,,,,
126th,Tue,3791 Iyar / 27,342 Artemisios / 27,Nisan / 27,Shemu Pachons 24,784 Maius / 8,31 May \ 8
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-29,,,,,
127th,Wed,3791 Iyar / 28,342 Artemisios / 28,Nisan / 28,Shemu Pachons 25,784 Maius / 9,31 May \ 9
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-30,,,,,
128th,Thu     New,3791 Iyar / 29,342 Artemisios / 29,Nisan / 29,Shemu Pachons 26,784 Maius / 10,31 May \ 10
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-31,,,,,
129th,Fri,3791 Iyar / 30,342 Artemisios / 30,Nisan / 30,Shemu Pachons 27,784 Maius / 11,31 May \ 11
,,|-----Daniel's Weeks Prophecy Week 69 Day 6-32,,,,,
