SOLAR,8000 L,HEBREW,SELEUCID ERA,CAPPADOCIA,EGYPT Civil,JULIAN AUC,HISTORICAL
95th,Tue,3760 Nisan / 13,311 Artemisos / 12,Amartata / 22,PERET Pharmuthi / 10,753 Aprilis \ 5,1 BC L Apr \ 6
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-195,,,,,
96th,Wed     Full Moon,3760 Nisan / 14,311 Artemisos / 13,Amartata / 23,PERET Pharmuthi / 11,753 Aprilis \ 6,1 BC L Apr \ 7
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-196,,,,,
97th,Thu,3760 Nisan / 15,311 Artemisos / 14,Amartata / 24,PERET Pharmuthi / 12,753 Aprilis \ 7,1 BC L Apr \ 8
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-197,,,,,
98th,Fri,3760 Nisan / 16,311 Artemisos / 15,Amartata / 25,PERET Pharmuthi / 13,753 Aprilis \ 8,1 BC L Apr \ 9
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-198,,,,,
99th,Sat,3760 Nisan / 17,311 Artemisos / 16,Amartata / 26,PERET Pharmuthi / 14,753 Aprilis \ 9,1 BC L Apr \ 10
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-199,,,,,
100th,Sun,3760 Nisan / 18,311 Artemisos / 17,Amartata / 27,PERET Pharmuthi / 15,753 Aprilis \ 10,1 BC L Apr \ 11
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-200,,,,,
101st,Mon,3760 Nisan / 19,311 Artemisos / 18,Amartata / 28,PERET Pharmuthi / 16,753 Aprilis \ 11,1 BC L Apr \ 12
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-201,,,,,
102nd,Tue,3760 Nisan / 20,311 Artemisos / 19,Amartata / 29,PERET Pharmuthi / 17,753 Aprilis \ 12,1 BC L Apr \ 13
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-202,,,,,
103rd,Wed,3760 Nisan / 21,311 Artemisos / 20,Amartata / 30,PERET Pharmuthi / 18,753 Aprilis \ 13,1 BC L Apr \ 14
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-203,,,,,
104th,Thu,3760 Nisan / 22,311 Artemisos / 21,Sathriore / 1,PERET Pharmuthi / 19,753 Aprilis \ 14,1 BC L Apr \ 15
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-204,,,,,
105th,Fri,3760 Nisan / 23,311 Artemisos / 22,Sathriore / 2,PERET Pharmuthi / 20,753 Aprilis \ 15,1 BC L Apr \ 16
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-205,,,,,
106th,Sat,3760 Nisan / 24,311 Artemisos / 23,Sathriore / 3,PERET Pharmuthi / 21,753 Aprilis \ 16,1 BC L Apr \ 17
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-206,,,,,
107th,Sun,3760 Nisan / 25,311 Artemisos / 24,Sathriore / 4,PERET Pharmuthi / 22,753 Aprilis \ 17,1 BC L Apr \ 18
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-207,,,,,
108th,Mon,3760 Nisan / 26,311 Artemisos / 25,Sathriore / 5,PERET Pharmuthi / 23,753 Aprilis \ 18,1 BC L Apr \ 19
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-208,,,,,
109th,Tue,3760 Nisan / 27,311 Artemisos / 26,Sathriore / 6,PERET Pharmuthi / 24,753 Aprilis \ 19,1 BC L Apr \ 20
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-209,,,,,
110th,Wed,3760 Nisan / 28,311 Artemisos / 27,Sathriore / 7,PERET Pharmuthi / 25,753 Aprilis \ 20,1 BC L Apr \ 21
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-210,,,,,
111th,Thu     New Moon,3760 Nisan / 29,311 Artemisos / 28,Sathriore / 8,PERET Pharmuthi / 26,753 Aprilis \ 21,1 BC L Apr \ 22
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-211,,,,,
112th,Fri,3760 Nisan / 30,311 Artemisos / 29,Sathriore / 9,PERET Pharmuthi / 27,753 Aprilis \ 22,1 BC L Apr \ 23
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-212,,,,,
113th,Sat,3760 Iyar / 1,311 Daisios / 1,Sathriore / 10,PERET Pharmuthi / 28,753 Aprilis \ 23,1 BC L Apr \ 24
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-213,,,,,
114th,Sun,3760 Iyar / 2,311 Daisios / 2,Sathriore / 11,PERET Pharmuthi / 29,753 Aprilis \ 24,1 BC L Apr \ 25
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-214,,,,,
115th,Mon,3760 Iyar / 3,311 Daisios / 3,Sathriore / 12,PERET Pharmuthi / 30,753 Aprilis \ 25,1 BC L Apr \ 26
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-215,,,,,
116th,Tue,3760 Iyar / 4,311 Daisios / 4,Sathriore / 13,SHEMU Pachons / 1,753 Aprilis \ 26,1 BC L Apr \ 27
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-216,,,,,
117th,Wed,3760 Iyar / 5,311 Daisios / 5,Sathriore / 14,SHEMU Pachons / 2,753 Aprilis \ 27,1 BC L Apr \ 28
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-217,,,,,
118th,Thu,3760 Iyar / 6,311 Daisios / 6,Sathriore / 15,SHEMU Pachons / 3,753 Aprilis \ 28,1 BC L Apr \ 29
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-218,,,,,
119th,Fri,3760 Iyar / 7,311 Daisios / 7,Sathriore / 16,SHEMU Pachons / 4,753 Aprilis \ 29,1 BC L Apr \ 30
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-219,,,,,
120th,Sat,3760 Iyar / 8,311 Daisios / 8,Sathriore / 17,SHEMU Pachons / 5,753 Aprilis \ 30,1 BC L May \ 1
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-220,,,,,
121st,Sun,3760 Iyar / 9,311 Daisios / 9,Sathriore / 18,SHEMU Pachons / 6,753 Maius \ 1,1 BC L May \ 2
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-221,,,,,
